OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
-2.0,0,0,-40.0,2336.0,ffffa388,2b2508
-2.0,0,1,-39.0,2424.0,ffffa838,2cc188
-2.0,0,2,-38.0,2512.0,fffface8,2e5e08
-2.0,0,3,-37.0,2600.0,ffffb198,2ffa88
-2.0,0,4,-36.0,2688.0,ffffb648,319708
-2.0,0,5,-35.0,2775.0,ffffbaf8,332ed8
-2.0,0,6,-34.0,2863.0,ffffbfa8,34cb58
-2.0,0,7,-33.0,2951.0,ffffc458,3667d8
-2.0,0,8,-32.0,3039.0,ffffc908,380458
-2.0,0,9,-31.0,3127.0,ffffcdb8,39a0d8
-2.0,0,10,-30.0,3215.0,ffffd268,3b3d58
-2.0,0,11,-29.0,3302.0,ffffd718,3cd528
-2.0,0,12,-28.0,3390.0,ffffdbc8,3e71a8
-2.0,0,13,-27.0,3478.0,ffffe078,400e28
-2.0,0,14,-26.0,3566.0,ffffe528,41aaa8
-2.0,0,15,-25.0,3654.0,ffffe9d8,434728
-2.0,0,16,-24.0,3742.0,ffffee88,44e3a8
-2.0,0,17,-23.0,3830.0,fffff338,468028
-2.0,0,18,-22.0,3917.0,fffff7e8,4817f8
-2.0,0,19,-21.0,4005.0,fffffc98,49b478
-2.0,0,20,-20.0,4093.0,148,4b50f8
-2.0,0,21,-19.0,4187.0,5f8,4d0998
-2.0,0,22,-18.0,4282.0,aa8,4ec6e8
-2.0,0,23,-17.0,4377.0,f58,508438
-2.0,0,24,-16.0,4472.0,1408,524188
-2.0,0,25,-15.0,4567.0,18b8,53fed8
-2.0,0,26,-14.0,4662.0,1d68,55bc28
-2.0,0,27,-13.0,4757.0,2218,577978
-2.0,0,28,-12.0,4852.0,26c8,5936c8
-2.0,0,29,-11.0,4947.0,2b78,5af418
-2.0,0,30,-10.0,5043.0,3028,5cb618
-2.0,0,31,-9.0,5138.0,34d8,5e7368
-2.0,0,32,-8.0,5233.0,3988,6030b8
-2.0,0,33,-7.0,5328.0,3e38,61ee08
-2.0,0,34,-6.0,5423.0,42e8,63ab58
-2.0,0,35,-5.0,5518.0,4798,6568a8
-2.0,0,36,-4.0,5613.0,4c48,6725f8
-2.0,0,37,-3.0,5709.0,50f8,68e7f8
-2.0,0,38,-2.0,5804.0,55a8,6aa548
-2.0,0,39,-1.0,5899.0,5a58,6c6298
-2.0,0,40,0.0,5994.0,5f08,6e1fe8
-2.0,0,41,1.0,6090.0,63b8,6fe1e8
-2.0,0,42,2.0,6185.0,6868,719f38
-2.0,0,43,3.0,6280.0,6d18,735c88
-2.0,0,44,4.0,6375.0,71c8,7519d8
-2.0,0,45,5.0,6471.0,7678,76dbd8
-2.0,0,46,6.0,6566.0,7b28,789928
-2.0,0,47,7.0,6661.0,7fd8,7a5678
-2.0,0,48,8.0,6757.0,8488,7c1878
-2.0,0,49,9.0,6852.0,8938,7dd5c8
-2.0,0,50,10.0,6947.0,8de8,7f9318
-2.0,0,51,11.0,7043.0,9298,815518
-2.0,0,52,12.0,7138.0,9748,831268
-2.0,0,53,13.0,7234.0,9bf8,84d468
-2.0,0,54,14.0,7329.0,a0a8,8691b8
-2.0,0,55,15.0,7425.0,a558,8853b8
-2.0,0,56,16.0,7520.0,aa08,8a1108
-2.0,0,57,17.0,7615.0,aeb8,8bce58
-2.0,0,58,18.0,7711.0,b368,8d9058
-2.0,0,59,19.0,7806.0,b818,8f4da8
-2.0,0,60,20.0,7902.0,bcc8,910fa8
-2.0,0,61,21.0,7997.0,c178,92ccf8
-2.0,0,62,22.0,8093.0,c628,948ef8
-2.0,0,63,23.0,8189.0,cad8,9650f8
-2.0,0,64,24.0,8284.0,cf88,980e48
-2.0,0,65,25.0,8380.0,d438,99d048
-2.0,0,66,26.0,8475.0,d8e8,9b8d98
-2.0,0,67,27.0,8571.0,dd98,9d4f98
-2.0,0,68,28.0,8666.0,e248,9f0ce8
