OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
-2.0,0,0,-40.0,1445.0,ffffa388,1ad478
-2.0,0,1,-39.0,1554.0,ffffa838,1cd368
-2.0,0,2,-38.0,1663.0,fffface8,1ed258
-2.0,0,3,-37.0,1772.0,ffffb198,20d148
-2.0,0,4,-36.0,1882.0,ffffb648,22d4e8
-2.0,0,5,-35.0,1991.0,ffffbaf8,24d3d8
-2.0,0,6,-34.0,2100.0,ffffbfa8,26d2c8
-2.0,0,7,-33.0,2209.0,ffffc458,28d1b8
-2.0,0,8,-32.0,2318.0,ffffc908,2ad0a8
-2.0,0,9,-31.0,2428.0,ffffcdb8,2cd448
-2.0,0,10,-30.0,2537.0,ffffd268,2ed338
-2.0,0,11,-29.0,2646.0,ffffd718,30d228
-2.0,0,12,-28.0,2755.0,ffffdbc8,32d118
-2.0,0,13,-27.0,2864.0,ffffe078,34d008
-2.0,0,14,-26.0,2974.0,ffffe528,36d3a8
-2.0,0,15,-25.0,3083.0,ffffe9d8,38d298
-2.0,0,16,-24.0,3192.0,ffffee88,3ad188
-2.0,0,17,-23.0,3301.0,fffff338,3cd078
-2.0,0,18,-22.0,3410.0,fffff7e8,3ecf68
-2.0,0,19,-21.0,3520.0,fffffc98,40d308
-2.0,0,20,-20.0,3629.0,148,42d1f8
-2.0,0,21,-19.0,3738.0,5f8,44d0e8
-2.0,0,22,-18.0,3847.0,aa8,46cfd8
-2.0,0,23,-17.0,3956.0,f58,48cec8
-2.0,0,24,-16.0,4066.0,1408,4ad268
-2.0,0,25,-15.0,4175.0,18b8,4cd158
-2.0,0,26,-14.0,4284.0,1d68,4ed048
-2.0,0,27,-13.0,4393.0,2218,50cf38
-2.0,0,28,-12.0,4503.0,26c8,52d2d8
-2.0,0,29,-11.0,4612.0,2b78,54d1c8
-2.0,0,30,-10.0,4721.0,3028,56d0b8
-2.0,0,31,-9.0,4830.0,34d8,58cfa8
-2.0,0,32,-8.0,4939.0,3988,5ace98
-2.0,0,33,-7.0,5049.0,3e38,5cd238
-2.0,0,34,-6.0,5158.0,42e8,5ed128
-2.0,0,35,-5.0,5267.0,4798,60d018
-2.0,0,36,-4.0,5376.0,4c48,62cf08
-2.0,0,37,-3.0,5485.0,50f8,64cdf8
-2.0,0,38,-2.0,5595.0,55a8,66d198
-2.0,0,39,-1.0,5704.0,5a58,68d088
-2.0,0,40,0.0,5813.0,5f08,6acf78
-2.0,0,41,1.0,5922.0,63b8,6cce68
-2.0,0,42,2.0,6031.0,6868,6ecd58
-2.0,0,43,3.0,6141.0,6d18,70d0f8
-2.0,0,44,4.0,6250.0,71c8,72cfe8
-2.0,0,45,5.0,6359.0,7678,74ced8
-2.0,0,46,6.0,6468.0,7b28,76cdc8
-2.0,0,47,7.0,6577.0,7fd8,78ccb8
-2.0,0,48,8.0,6687.0,8488,7ad058
-2.0,0,49,9.0,6796.0,8938,7ccf48
-2.0,0,50,10.0,6905.0,8de8,7ece38
-2.0,0,51,11.0,7014.0,9298,80cd28
-2.0,0,52,12.0,7123.0,9748,82cc18
-2.0,0,53,13.0,7233.0,9bf8,84cfb8
-2.0,0,54,14.0,7342.0,a0a8,86cea8
-2.0,0,55,15.0,7451.0,a558,88cd98
-2.0,0,56,16.0,7560.0,aa08,8acc88
-2.0,0,57,17.0,7670.0,aeb8,8cd028
-2.0,0,58,18.0,7779.0,b368,8ecf18
-2.0,0,59,19.0,7888.0,b818,90ce08
-2.0,0,60,20.0,7997.0,bcc8,92ccf8
-2.0,0,61,21.0,8106.0,c178,94cbe8
-2.0,0,62,22.0,8216.0,c628,96cf88
-2.0,0,63,23.0,8325.0,cad8,98ce78
-2.0,0,64,24.0,8434.0,cf88,9acd68
-2.0,0,65,25.0,8543.0,d438,9ccc58
-2.0,0,66,26.0,8652.0,d8e8,9ecb48
-2.0,0,67,27.0,8762.0,dd98,a0cee8
-2.0,0,68,28.0,8871.0,e248,a2cdd8
-2.0,0,69,29.0,8980.0,e6f8,a4ccc8
-2.0,0,70,30.0,9089.0,eba8,a6cbb8
-2.0,0,71,31.0,9198.0,f058,a8caa8
-2.0,0,72,32.0,9308.0,f508,aace48
-2.0,0,73,33.0,9417.0,f9b8,accd38
-2.0,0,74,34.0,9526.0,fe68,aecc28
-2.0,0,75,35.0,9635.0,10318,b0cb18
-2.0,0,76,36.0,9744.0,107c8,b2ca08
-2.0,0,77,37.0,9854.0,10c78,b4cda8
-2.0,0,78,38.0,9963.0,11128,b6cc98
-2.0,0,79,39.0,9829.0,115d8,b45878
-2.0,0,80,40.0,9681.0,11a88,b1a2b8
-2.0,0,81,41.0,9533.0,11f38,aeecf8
-2.0,0,82,42.0,9367.0,123e8,abe2d8
-2.0,0,83,43.0,9164.0,12898,a82b48
-2.0,0,84,44.0,8961.0,12d48,a473b8
-2.0,0,85,45.0,8759.0,131f8,a0c0d8
-2.0,0,86,46.0,8558.0,136a8,9d12a8
-2.0,0,87,47.0,8353.0,13b58,9951b8
-2.0,0,88,48.0,8149.0,14008,959578
-2.0,0,89,49.0,7944.0,144b8,91d488
-2.0,0,90,50.0,7745.0,14968,8e2fb8
-1.0,0,0,-40.0,2371.0,ffffa388,2bc918
-1.0,0,1,-39.0,2484.0,ffffa838,2ddac8
-1.0,0,2,-38.0,2598.0,fffface8,2ff128
-1.0,0,3,-37.0,2711.0,ffffb198,3202d8
-1.0,0,4,-36.0,2824.0,ffffb648,341488
-1.0,0,5,-35.0,2937.0,ffffbaf8,362638
-1.0,0,6,-34.0,3050.0,ffffbfa8,3837e8
-1.0,0,7,-33.0,3164.0,ffffc458,3a4e48
-1.0,0,8,-32.0,3277.0,ffffc908,3c5ff8
-1.0,0,9,-31.0,3390.0,ffffcdb8,3e71a8
-1.0,0,10,-30.0,3503.0,ffffd268,408358
-1.0,0,11,-29.0,3616.0,ffffd718,429508
-1.0,0,12,-28.0,3730.0,ffffdbc8,44ab68
-1.0,0,13,-27.0,3843.0,ffffe078,46bd18
-1.0,0,14,-26.0,3956.0,ffffe528,48cec8
-1.0,0,15,-25.0,4069.0,ffffe9d8,4ae078
-1.0,0,16,-24.0,4182.0,ffffee88,4cf228
-1.0,0,17,-23.0,4295.0,fffff338,4f03d8
-1.0,0,18,-22.0,4409.0,fffff7e8,511a38
-1.0,0,19,-21.0,4522.0,fffffc98,532be8
-1.0,0,20,-20.0,4635.0,148,553d98
-1.0,0,21,-19.0,4748.0,5f8,574f48
-1.0,0,22,-18.0,4861.0,aa8,5960f8
-1.0,0,23,-17.0,4975.0,f58,5b7758
-1.0,0,24,-16.0,5088.0,1408,5d8908
-1.0,0,25,-15.0,5201.0,18b8,5f9ab8
-1.0,0,26,-14.0,5314.0,1d68,61ac68
-1.0,0,27,-13.0,5427.0,2218,63be18
-1.0,0,28,-12.0,5540.0,26c8,65cfc8
-1.0,0,29,-11.0,5654.0,2b78,67e628
-1.0,0,30,-10.0,5767.0,3028,69f7d8
-1.0,0,31,-9.0,5880.0,34d8,6c0988
-1.0,0,32,-8.0,5993.0,3988,6e1b38
-1.0,0,33,-7.0,6106.0,3e38,702ce8
-1.0,0,34,-6.0,6220.0,42e8,724348
-1.0,0,35,-5.0,6333.0,4798,7454f8
-1.0,0,36,-4.0,6446.0,4c48,7666a8
-1.0,0,37,-3.0,6559.0,50f8,787858
-1.0,0,38,-2.0,6672.0,55a8,7a8a08
-1.0,0,39,-1.0,6786.0,5a58,7ca068
-1.0,0,40,0.0,6899.0,5f08,7eb218
-1.0,0,41,1.0,7012.0,63b8,80c3c8
-1.0,0,42,2.0,7125.0,6868,82d578
-1.0,0,43,3.0,7238.0,6d18,84e728
-1.0,0,44,4.0,7351.0,71c8,86f8d8
-1.0,0,45,5.0,7465.0,7678,890f38
-1.0,0,46,6.0,7578.0,7b28,8b20e8
-1.0,0,47,7.0,7691.0,7fd8,8d3298
-1.0,0,48,8.0,7804.0,8488,8f4448
-1.0,0,49,9.0,7917.0,8938,9155f8
-1.0,0,50,10.0,8030.0,8de8,9367a8
-1.0,0,51,11.0,8144.0,9298,957e08
-1.0,0,52,12.0,8257.0,9748,978fb8
-1.0,0,53,13.0,8370.0,9bf8,99a168
-1.0,0,54,14.0,8483.0,a0a8,9bb318
-1.0,0,55,15.0,8596.0,a558,9dc4c8
-1.0,0,56,16.0,8710.0,aa08,9fdb28
-1.0,0,57,17.0,8823.0,aeb8,a1ecd8
-1.0,0,58,18.0,8936.0,b368,a3fe88
-1.0,0,59,19.0,9049.0,b818,a61038
-1.0,0,60,20.0,9162.0,bcc8,a821e8
-1.0,0,61,21.0,9276.0,c178,aa3848
-1.0,0,62,22.0,9389.0,c628,ac49f8
-1.0,0,63,23.0,9502.0,cad8,ae5ba8
-1.0,0,64,24.0,9615.0,cf88,b06d58
-1.0,0,65,25.0,9728.0,d438,b27f08
-1.0,0,66,26.0,9841.0,d8e8,b490b8
-1.0,0,67,27.0,9955.0,dd98,b6a718
-1.0,0,68,28.0,10068.0,e248,b8b8c8
-1.0,0,69,29.0,10181.0,e6f8,baca78
-1.0,0,70,30.0,10294.0,eba8,bcdc28
-1.0,0,71,31.0,10407.0,f058,beedd8
-1.0,0,72,32.0,10521.0,f508,c10438
-1.0,0,73,32.0,10577.0,f508,c20ab8
-1.0,0,74,33.0,10590.0,f9b8,c247a8
-1.0,0,75,34.0,10445.0,fe68,bf9ff8
-1.0,0,76,35.0,10303.0,10318,bd0658
-1.0,0,77,36.0,10161.0,107c8,ba6cb8
-1.0,0,78,37.0,10019.0,10c78,b7d318
-1.0,0,79,38.0,9873.0,11128,b526b8
-1.0,0,80,39.0,9726.0,115d8,b275a8
-1.0,0,81,40.0,9578.0,11a88,afbfe8
-1.0,0,82,41.0,9428.0,11f38,ad00c8
-1.0,0,83,42.0,9239.0,123e8,a98ad8
-1.0,0,84,43.0,9034.0,12898,a5c9e8
-1.0,0,85,44.0,8828.0,12d48,a20448
-1.0,0,86,45.0,8625.0,131f8,9e4cb8
-1.0,0,87,46.0,8421.0,136a8,9a9078
-1.0,0,88,47.0,8219.0,13b58,96dd98
-1.0,0,89,48.0,8014.0,14008,931ca8
-1.0,0,90,49.0,7813.0,144b8,8f6e78
-1.0,0,91,50.0,7611.0,14968,8bbb98
0.0,0,0,-40.0,3338.0,ffffa388,3d7de8
0.0,0,1,-39.0,3456.0,ffffa838,3fa708
0.0,0,2,-38.0,3573.0,fffface8,41cb78
0.0,0,3,-37.0,3690.0,ffffb198,43efe8
0.0,0,4,-36.0,3808.0,ffffb648,461908
0.0,0,5,-35.0,3925.0,ffffbaf8,483d78
0.0,0,6,-34.0,4042.0,ffffbfa8,4a61e8
0.0,0,7,-33.0,4160.0,ffffc458,4c8b08
0.0,0,8,-32.0,4277.0,ffffc908,4eaf78
0.0,0,9,-31.0,4394.0,ffffcdb8,50d3e8
0.0,0,10,-30.0,4512.0,ffffd268,52fd08
0.0,0,11,-29.0,4629.0,ffffd718,552178
0.0,0,12,-28.0,4746.0,ffffdbc8,5745e8
0.0,0,13,-27.0,4864.0,ffffe078,596f08
0.0,0,14,-26.0,4981.0,ffffe528,5b9378
0.0,0,15,-25.0,5098.0,ffffe9d8,5db7e8
0.0,0,16,-24.0,5216.0,ffffee88,5fe108
0.0,0,17,-23.0,5333.0,fffff338,620578
0.0,0,18,-22.0,5450.0,fffff7e8,6429e8
0.0,0,19,-21.0,5568.0,fffffc98,665308
0.0,0,20,-20.0,5685.0,148,687778
0.0,0,21,-19.0,5802.0,5f8,6a9be8
0.0,0,22,-18.0,5920.0,aa8,6cc508
0.0,0,23,-17.0,6037.0,f58,6ee978
0.0,0,24,-16.0,6154.0,1408,710de8
0.0,0,25,-15.0,6272.0,18b8,733708
0.0,0,26,-14.0,6389.0,1d68,755b78
0.0,0,27,-13.0,6506.0,2218,777fe8
0.0,0,28,-12.0,6624.0,26c8,79a908
0.0,0,29,-11.0,6741.0,2b78,7bcd78
0.0,0,30,-10.0,6858.0,3028,7df1e8
0.0,0,31,-9.0,6976.0,34d8,801b08
0.0,0,32,-8.0,7093.0,3988,823f78
0.0,0,33,-7.0,7210.0,3e38,8463e8
0.0,0,34,-6.0,7328.0,42e8,868d08
0.0,0,35,-5.0,7445.0,4798,88b178
0.0,0,36,-4.0,7562.0,4c48,8ad5e8
0.0,0,37,-3.0,7680.0,50f8,8cff08
0.0,0,38,-2.0,7797.0,55a8,8f2378
0.0,0,39,-1.0,7914.0,5a58,9147e8
0.0,0,40,0.0,8032.0,5f08,937108
0.0,0,41,1.0,8149.0,63b8,959578
0.0,0,42,2.0,8266.0,6868,97b9e8
0.0,0,43,3.0,8384.0,6d18,99e308
0.0,0,44,4.0,8501.0,71c8,9c0778
0.0,0,45,5.0,8618.0,7678,9e2be8
0.0,0,46,6.0,8736.0,7b28,a05508
0.0,0,47,7.0,8853.0,7fd8,a27978
0.0,0,48,8.0,8970.0,8488,a49de8
0.0,0,49,9.0,9088.0,8938,a6c708
0.0,0,50,10.0,9205.0,8de8,a8eb78
0.0,0,51,11.0,9322.0,9298,ab0fe8
0.0,0,52,12.0,9440.0,9748,ad3908
0.0,0,53,13.0,9557.0,9bf8,af5d78
0.0,0,54,14.0,9674.0,a0a8,b181e8
0.0,0,55,15.0,9792.0,a558,b3ab08
0.0,0,56,16.0,9909.0,aa08,b5cf78
0.0,0,57,17.0,10026.0,aeb8,b7f3e8
0.0,0,58,18.0,10144.0,b368,ba1d08
0.0,0,59,19.0,10261.0,b818,bc4178
0.0,0,60,20.0,10378.0,bcc8,be65e8
0.0,0,61,21.0,10496.0,c178,c08f08
0.0,0,62,22.0,10613.0,c628,c2b378
0.0,0,63,23.0,10730.0,cad8,c4d7e8
0.0,0,64,24.0,10848.0,cf88,c70108
0.0,0,65,25.0,10965.0,d438,c92578
0.0,0,66,26.0,11082.0,d8e8,cb49e8
0.0,0,67,27.0,11200.0,dd98,cd7308
0.0,0,68,27.0,11258.0,dd98,ce82e8
0.0,0,69,28.0,11218.0,e248,cdc768
0.0,0,70,29.0,11080.0,e6f8,cb4088
0.0,0,71,30.0,10935.0,eba8,c898d8
0.0,0,72,31.0,10792.0,f058,c5fa88
0.0,0,73,32.0,10646.0,f508,c34e28
0.0,0,74,33.0,10501.0,f9b8,c0a678
0.0,0,75,34.0,10354.0,fe68,bdf568
0.0,0,76,35.0,10208.0,10318,bb4908
0.0,0,77,36.0,10061.0,107c8,b897f8
0.0,0,78,37.0,9919.0,10c78,b5fe58
0.0,0,79,38.0,9766.0,11128,b33128
0.0,0,80,39.0,9618.0,115d8,b07b68
0.0,0,81,40.0,9467.0,11a88,adb798
0.0,0,82,41.0,9318.0,11f38,aafd28
0.0,0,83,42.0,9116.0,123e8,a74a48
0.0,0,84,43.0,8909.0,12898,a37ff8
0.0,0,85,44.0,8707.0,12d48,9fcd18
0.0,0,86,45.0,8500.0,131f8,9c02c8
0.0,0,87,46.0,8292.0,136a8,9833c8
0.0,0,88,47.0,8095.0,13b58,949858
0.0,0,89,48.0,7892.0,14008,90e0c8
0.0,0,90,49.0,7693.0,144b8,8d3bf8
0.0,0,91,50.0,7487.0,14968,897658
1.0,0,0,-40.0,4348.0,ffffa388,4ffc48
1.0,0,1,-39.0,4470.0,ffffa838,523828
1.0,0,2,-38.0,4591.0,fffface8,546f58
1.0,0,3,-37.0,4713.0,ffffb198,56ab38
1.0,0,4,-36.0,4835.0,ffffb648,58e718
1.0,0,5,-35.0,4956.0,ffffbaf8,5b1e48
1.0,0,6,-34.0,5078.0,ffffbfa8,5d5a28
1.0,0,7,-33.0,5200.0,ffffc458,5f9608
1.0,0,8,-32.0,5321.0,ffffc908,61cd38
1.0,0,9,-31.0,5443.0,ffffcdb8,640918
1.0,0,10,-30.0,5565.0,ffffd268,6644f8
1.0,0,11,-29.0,5686.0,ffffd718,687c28
1.0,0,12,-28.0,5808.0,ffffdbc8,6ab808
1.0,0,13,-27.0,5930.0,ffffe078,6cf3e8
1.0,0,14,-26.0,6051.0,ffffe528,6f2b18
1.0,0,15,-25.0,6173.0,ffffe9d8,7166f8
1.0,0,16,-24.0,6295.0,ffffee88,73a2d8
1.0,0,17,-23.0,6416.0,fffff338,75da08
1.0,0,18,-22.0,6538.0,fffff7e8,7815e8
1.0,0,19,-21.0,6660.0,fffffc98,7a51c8
1.0,0,20,-20.0,6781.0,148,7c88f8
1.0,0,21,-19.0,6903.0,5f8,7ec4d8
1.0,0,22,-18.0,7025.0,aa8,8100b8
1.0,0,23,-17.0,7146.0,f58,8337e8
1.0,0,24,-16.0,7268.0,1408,8573c8
1.0,0,25,-15.0,7390.0,18b8,87afa8
1.0,0,26,-14.0,7511.0,1d68,89e6d8
1.0,0,27,-13.0,7633.0,2218,8c22b8
1.0,0,28,-12.0,7755.0,26c8,8e5e98
1.0,0,29,-11.0,7876.0,2b78,9095c8
1.0,0,30,-10.0,7998.0,3028,92d1a8
1.0,0,31,-9.0,8120.0,34d8,950d88
1.0,0,32,-8.0,8241.0,3988,9744b8
1.0,0,33,-7.0,8363.0,3e38,998098
1.0,0,34,-6.0,8485.0,42e8,9bbc78
1.0,0,35,-5.0,8606.0,4798,9df3a8
1.0,0,36,-4.0,8728.0,4c48,a02f88
1.0,0,37,-3.0,8850.0,50f8,a26b68
1.0,0,38,-2.0,8971.0,55a8,a4a298
1.0,0,39,-1.0,9093.0,5a58,a6de78
1.0,0,40,0.0,9215.0,5f08,a91a58
1.0,0,41,1.0,9336.0,63b8,ab5188
1.0,0,42,2.0,9458.0,6868,ad8d68
1.0,0,43,3.0,9580.0,6d18,afc948
1.0,0,44,4.0,9701.0,71c8,b20078
1.0,0,45,5.0,9823.0,7678,b43c58
1.0,0,46,6.0,9945.0,7b28,b67838
1.0,0,47,7.0,10066.0,7fd8,b8af68
1.0,0,48,8.0,10188.0,8488,baeb48
1.0,0,49,9.0,10310.0,8938,bd2728
1.0,0,50,10.0,10431.0,8de8,bf5e58
1.0,0,51,11.0,10553.0,9298,c19a38
1.0,0,52,12.0,10675.0,9748,c3d618
1.0,0,53,13.0,10796.0,9bf8,c60d48
1.0,0,54,14.0,10918.0,a0a8,c84928
1.0,0,55,15.0,11040.0,a558,ca8508
1.0,0,56,16.0,11161.0,aa08,ccbc38
1.0,0,57,17.0,11283.0,aeb8,cef818
1.0,0,58,18.0,11405.0,b368,d133f8
1.0,0,59,19.0,11526.0,b818,d36b28
1.0,0,60,20.0,11648.0,bcc8,d5a708
1.0,0,61,21.0,11770.0,c178,d7e2e8
1.0,0,62,22.0,11891.0,c628,da1a18
1.0,0,63,23.0,11782.0,cad8,d81b28
1.0,0,64,24.0,11650.0,cf88,d5b068
1.0,0,65,25.0,11518.0,d438,d345a8
1.0,0,66,26.0,11382.0,d8e8,d0c828
1.0,0,67,27.0,11252.0,dd98,ce66c8
1.0,0,68,28.0,11118.0,e248,cbf2a8
1.0,0,69,29.0,10966.0,e6f8,c92a28
1.0,0,70,30.0,10824.0,eba8,c69088
1.0,0,71,31.0,10675.0,f058,c3d618
1.0,0,72,32.0,10525.0,f508,c116f8
1.0,0,73,33.0,10377.0,f9b8,be6138
1.0,0,74,34.0,10229.0,fe68,bbab78
1.0,0,75,35.0,10082.0,10318,b8fa68
1.0,0,76,36.0,9939.0,107c8,b65c18
1.0,0,77,37.0,9792.0,10c78,b3ab08
1.0,0,78,38.0,9637.0,11128,b0d478
1.0,0,79,39.0,9490.0,115d8,ae2368
1.0,0,80,40.0,9336.0,11a88,ab5188
1.0,0,81,41.0,9174.0,11f38,a85a28
1.0,0,82,42.0,8969.0,123e8,a49938
1.0,0,83,43.0,8762.0,12898,a0cee8
