OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
-2.0,0,0,-40.0,1103.0,ffffa388,149158
-2.0,0,1,-39.0,1194.0,ffffa838,163be8
-2.0,0,2,-38.0,1284.0,fffface8,17e1c8
-2.0,0,3,-37.0,1375.0,ffffb198,198c58
-2.0,0,4,-36.0,1466.0,ffffb648,1b36e8
-2.0,0,5,-35.0,1557.0,ffffbaf8,1ce178
-2.0,0,6,-34.0,1648.0,ffffbfa8,1e8c08
-2.0,0,7,-33.0,1739.0,ffffc458,203698
-2.0,0,8,-32.0,1830.0,ffffc908,21e128
-2.0,0,9,-31.0,1921.0,ffffcdb8,238bb8
-2.0,0,10,-30.0,2012.0,ffffd268,253648
-2.0,0,11,-29.0,2103.0,ffffd718,26e0d8
-2.0,0,12,-28.0,2194.0,ffffdbc8,288b68
-2.0,0,13,-27.0,2285.0,ffffe078,2a35f8
-2.0,0,14,-26.0,2376.0,ffffe528,2be088
-2.0,0,15,-25.0,2467.0,ffffe9d8,2d8b18
-2.0,0,16,-24.0,2558.0,ffffee88,2f35a8
-2.0,0,17,-23.0,2649.0,fffff338,30e038
-2.0,0,18,-22.0,2740.0,fffff7e8,328ac8
-2.0,0,19,-21.0,2831.0,fffffc98,343558
-2.0,0,20,-20.0,2922.0,148,35dfe8
-2.0,0,21,-19.0,3013.0,5f8,378a78
-2.0,0,22,-18.0,3105.0,aa8,3939b8
-2.0,0,23,-17.0,3196.0,f58,3ae448
-2.0,0,24,-16.0,3287.0,1408,3c8ed8
-2.0,0,25,-15.0,3378.0,18b8,3e3968
-2.0,0,26,-14.0,3469.0,1d68,3fe3f8
-2.0,0,27,-13.0,3560.0,2218,418e88
-2.0,0,28,-12.0,3651.0,26c8,433918
-2.0,0,29,-11.0,3742.0,2b78,44e3a8
-2.0,0,30,-10.0,3834.0,3028,4692e8
-2.0,0,31,-9.0,3925.0,34d8,483d78
-2.0,0,32,-8.0,4016.0,3988,49e808
-2.0,0,33,-7.0,4107.0,3e38,4b9298
-2.0,0,34,-6.0,4198.0,42e8,4d3d28
-2.0,0,35,-5.0,4289.0,4798,4ee7b8
-2.0,0,36,-4.0,4381.0,4c48,5096f8
-2.0,0,37,-3.0,4472.0,50f8,524188
-2.0,0,38,-2.0,4563.0,55a8,53ec18
-2.0,0,39,-1.0,4654.0,5a58,5596a8
-2.0,0,40,0.0,4746.0,5f08,5745e8
-2.0,0,41,1.0,4837.0,63b8,58f078
-2.0,0,42,2.0,4928.0,6868,5a9b08
-2.0,0,43,3.0,5019.0,6d18,5c4598
-2.0,0,44,4.0,5111.0,71c8,5df4d8
-2.0,0,45,5.0,5202.0,7678,5f9f68
-2.0,0,46,6.0,5293.0,7b28,6149f8
-2.0,0,47,7.0,5384.0,7fd8,62f488
-2.0,0,48,8.0,5476.0,8488,64a3c8
-2.0,0,49,9.0,5567.0,8938,664e58
-2.0,0,50,10.0,5658.0,8de8,67f8e8
-2.0,0,51,11.0,5750.0,9298,69a828
-2.0,0,52,12.0,5841.0,9748,6b52b8
-2.0,0,53,13.0,5932.0,9bf8,6cfd48
-2.0,0,54,14.0,6024.0,a0a8,6eac88
-2.0,0,55,15.0,6115.0,a558,705718
-2.0,0,56,16.0,6206.0,aa08,7201a8
-2.0,0,57,17.0,6298.0,aeb8,73b0e8
-2.0,0,58,18.0,6389.0,b368,755b78
-2.0,0,59,19.0,6480.0,b818,770608
-2.0,0,60,20.0,6572.0,bcc8,78b548
-2.0,0,61,21.0,6663.0,c178,7a5fd8
-2.0,0,62,22.0,6755.0,c628,7c0f18
-2.0,0,63,23.0,6846.0,cad8,7db9a8
-2.0,0,64,24.0,6937.0,cf88,7f6438
-2.0,0,65,25.0,7029.0,d438,811378
-2.0,0,66,26.0,7120.0,d8e8,82be08
-2.0,0,67,27.0,7212.0,dd98,846d48
-2.0,0,68,28.0,7303.0,e248,8617d8
-2.0,0,69,29.0,7395.0,e6f8,87c718
-2.0,0,70,30.0,7486.0,eba8,8971a8
-2.0,0,71,31.0,7578.0,f058,8b20e8
-2.0,0,72,32.0,7669.0,f508,8ccb78
-2.0,0,73,33.0,7760.0,f9b8,8e7608
-2.0,0,74,34.0,7852.0,fe68,902548
-2.0,0,75,35.0,7943.0,10318,91cfd8
-2.0,0,76,36.0,8035.0,107c8,937f18
-2.0,0,77,37.0,8126.0,10c78,9529a8
-2.0,0,78,38.0,8218.0,11128,96d8e8
-2.0,0,79,39.0,8309.0,115d8,988378
-2.0,0,80,40.0,8401.0,11a88,9a32b8
-2.0,0,81,41.0,8492.0,11f38,9bdd48
-2.0,0,82,42.0,8584.0,123e8,9d8c88
-2.0,0,83,43.0,8676.0,12898,9f3bc8
-2.0,0,84,44.0,8767.0,12d48,a0e658
-2.0,0,85,45.0,8859.0,131f8,a29598
-2.0,0,86,46.0,8950.0,136a8,a44028
-2.0,0,87,47.0,9042.0,13b58,a5ef68
-2.0,0,88,48.0,9133.0,14008,a799f8
-2.0,0,89,49.0,9225.0,144b8,a94938
-2.0,0,90,49.0,9271.0,144b8,aa20d8
-2.0,0,91,50.0,9202.0,14968,a8dd68
-1.0,0,0,-40.0,1874.0,ffffa388,22af68
-1.0,0,1,-39.0,1969.0,ffffa838,246cb8
-1.0,0,2,-38.0,2063.0,fffface8,262558
-1.0,0,3,-37.0,2157.0,ffffb198,27ddf8
-1.0,0,4,-36.0,2251.0,ffffb648,299698
-1.0,0,5,-35.0,2346.0,ffffbaf8,2b53e8
-1.0,0,6,-34.0,2440.0,ffffbfa8,2d0c88
-1.0,0,7,-33.0,2534.0,ffffc458,2ec528
-1.0,0,8,-32.0,2629.0,ffffc908,308278
-1.0,0,9,-31.0,2723.0,ffffcdb8,323b18
-1.0,0,10,-30.0,2818.0,ffffd268,33f868
-1.0,0,11,-29.0,2912.0,ffffd718,35b108
-1.0,0,12,-28.0,3006.0,ffffdbc8,3769a8
-1.0,0,13,-27.0,3101.0,ffffe078,3926f8
-1.0,0,14,-26.0,3195.0,ffffe528,3adf98
-1.0,0,15,-25.0,3290.0,ffffe9d8,3c9ce8
-1.0,0,16,-24.0,3384.0,ffffee88,3e5588
-1.0,0,17,-23.0,3478.0,fffff338,400e28
